Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E09000001,City of London,City of London,0.88,2437.64,83.7,5.3,4.83,9.5,0.14,16.99,0.135135135,7.655962548
E05000026,Abbey,Barking and Dagenham,0.87,11960.13,82.13,0.8,19.85,8.91,1.01,151.9,1.010816058,7.789196612
E05000027,Alibon,Barking and Dagenham,0.82,8277.74,78.3,1,22.92,10.2,0.67,117.57,0.670123764,7.553030303
E05000028,Becontree,Barking and Dagenham,0.8,11750.78,78.72,1.6,5.87,9.93,0.78,130.94,0.77501847,7.551140718
E05000029,Chadwell Heath,Barking and Dagenham,0.78,3316.57,80.34,1.2,64.32,8.59,1.79,116.63,1.785767535,7.551140718
E05000030,Eastbrook,Barking and Dagenham,0.79,3213.67,78.17,1.6,45.75,8.29,1.14,81.61,1.135552793,7.553030303
E05000031,Eastbury,Barking and Dagenham,0.8,8537.02,81.64,1.5,15.76,10.2,1.54,105.04,1.539502449,7.789196612
E05000032,Gascoigne,Barking and Dagenham,0.83,12949.74,79.03,1.4,19.57,12.19,2.24,139.04,2.235539767,7.789196612
E05000033,Goresbrook,Barking and Dagenham,0.8,9755.47,79.57,1.7,19.14,9.48,0.88,110.81,0.882379046,7.789196612
E05000034,Heath,Barking and Dagenham,0.8,5982.54,77.99,1.6,39.92,11.85,1.57,99.1,1.566938624,7.551140718
E05000035,Longbridge,Barking and Dagenham,0.84,7510.98,81.55,1.1,22.44,5.34,0.95,103.63,0.952774105,7.789196612
E05000036,Mayesbrook,Barking and Dagenham,0.79,6176.66,78.39,1.6,35.8,9.28,1.54,107.25,1.538080016,7.553030303
E05000037,Parsloes,Barking and Dagenham,0.79,8476.27,79.51,1.2,20.37,9.46,1.52,101,1.515666944,7.553030303
E05000038,River,Barking and Dagenham,0.86,3379.22,75.91,1.4,16.85,8.46,1,78.66,1.001184764,7.553030303
E05000039,Thames,Barking and Dagenham,0.77,1968.67,78.81,2.1,41.59,8.73,4.54,87.36,4.540888055,7.789196612
E05000040,Valence,Barking and Dagenham,0.79,9037.12,77.5,1.5,17.15,9.28,1.61,100.84,1.612123597,7.551140718
E05000041,Village,Barking and Dagenham,0.8,5303.74,78.32,2.4,46.48,11.87,2.12,128.92,2.119779255,7.553030303
E05000042,Whalebone,Barking and Dagenham,0.82,8019.95,81.53,1,16.92,6.75,1.41,100.67,1.410179391,7.551140718
E05000043,Brunswick Park,Barnet,0.83,5318.21,82.86,1,27.9,3.84,0.79,65.71,0.790502068,7.3571298
E05000044,Burnt Oak,Barnet,0.82,9765.02,78.43,0.8,24.68,6.76,0.93,78.75,0.930286357,7.343684483
E05000045,Childs Hill,Barnet,0.86,7249.92,80.1,2.5,13.73,6.16,0.45,117.86,0.447501384,7.385812172
E05000046,Colindale,Barnet,0.95,10411.43,82.62,1,31.81,4.65,1.11,62.23,1.10777836,7.343684483
E05000047,Coppetts,Barnet,0.94,6605.15,79.94,2,32.33,4.73,1.62,104.1,1.618130415,7.3571298
E05000048,East Barnet,Barnet,0.84,4521.59,82.68,0.9,35.76,4.06,0.62,77.26,0.617762853,7.393772861
E05000049,East Finchley,Barnet,0.84,6864.5,83.96,3.1,39.47,4.03,1.87,84.62,1.870443272,7.3571298
E05000050,Edgware,Barnet,0.84,3661.69,84.45,0.7,53.09,4.22,0.89,98.3,0.893905951,7.343684483
E05000051,Finchley Church End,Barnet,0.86,6268,85.71,1.4,16.99,3.19,0.25,55.67,0.253740736,7.3571298
E05000052,Garden Suburb,Barnet,0.89,3552.31,85.58,2.5,28.01,1.94,0.31,90.99,0.312914783,7.385812172
E05000053,Golders Green,Barnet,0.87,7063.8,82.04,1.7,18.65,4.62,0.53,85.4,0.529750195,7.385812172
E05000054,Hale,Barnet,0.81,3408.89,83.43,0.8,52.65,3.96,0.63,72.58,0.628876703,7.343684483
E05000055,Hendon,Barnet,0.86,7069.72,82.67,1.2,21.78,4.65,0.38,75.12,0.377771081,7.385812172
E05000056,High Barnet,Barnet,0.83,1916.6,82.05,1.6,61.84,2.71,0.91,88.92,0.911764214,7.393772861
E05000057,Mill Hill,Barnet,0.86,2266.65,84.83,1,61.54,3.78,0.43,81.07,0.432229761,7.343684483
E05000058,Oakleigh,Barnet,0.93,5057.88,82,1,17.79,3.53,0.13,74.25,0.126100046,7.393772861
E05000059,Totteridge,Barnet,0.86,1912.41,83.46,1.1,63.08,2.46,0.46,56.15,0.460332965,7.393772861
E05000060,Underhill,Barnet,0.81,3632.25,81.55,0.8,48.62,5.23,1.25,71.96,1.252760184,7.393772861
E05000061,West Finchley,Barnet,0.85,8196.21,82.1,1.7,15.83,3.3,0.36,76.38,0.361779683,7.3571298
